code_module,code_presentation,module_presentation_length,num_of_assessment,avg_score,students_take_exam,num_of_student,Pass,Fail,Withdrawn,Distinction,num_of_soon_regis,num_of_unregis
AAA,2013J,268,6,69.44859992881393,326.6,383,258,45,60,20,379,60
AAA,2014J,269,6,68.63123636413484,303.2,365,229,46,66,24,361,66
BBB,2013J,268,12,78.98220788808051,1306.8181818181818,2237,896,521,644,176,2217,647
BBB,2014J,262,6,66.12376400392108,1481.6,2292,972,391,749,180,2235,736
BBB,2013B,240,12,79.13202691352363,1023.2727272727273,1767,648,459,505,155,1757,505
BBB,2014B,234,12,78.91231832801508,908.4545454545455,1613,561,396,490,166,1595,489
CCC,2014J,269,10,74.50194423111975,1272.3333333333333,2498,709,406,1077,306,2482,1049
CCC,2014B,241,10,71.52730793196876,832.1111111111111,1936,471,375,898,192,1927,898
DDD,2013J,261,7,68.72902232149364,1133.7142857142858,1938,731,428,681,98,1927,684
DDD,2014J,262,7,70.83107758246426,1144.7142857142858,1803,680,364,647,112,1796,631
DDD,2013B,240,14,68.93361597372738,740.9285714285714,1303,456,361,432,54,1286,431
DDD,2014B,241,7,68.36587288328323,648.8571428571429,1228,360,259,490,119,1219,489
EEE,2013J,268,5,80.36844602363769,721.0,1052,482,200,243,127,1048,243
EEE,2014J,269,5,82.15669243417733,807.25,1188,527,198,306,157,1181,302
EEE,2014B,241,5,79.15239497555247,445.0,694,285,164,173,72,692,173
FFF,2013J,268,13,77.14569553438696,1353.3333333333333,2283,908,513,675,187,2278,677
FFF,2014J,269,13,78.61641068040343,1348.6666666666667,2365,859,393,855,258,2358,831
FFF,2013B,240,13,77.89398124045478,1016.25,1614,664,421,411,118,1605,411
FFF,2014B,241,13,76.53097273838615,849.6666666666666,1500,547,384,462,107,1482,461
GGG,2013J,261,10,80.82046789487157,661.1111111111111,952,451,294,66,141,951,65
GGG,2014J,269,10,79.57618574081062,485.8888888888889,749,317,179,126,127,705,124
GGG,2014B,241,10,80.00767710577419,544.0,833,350,255,100,128,831,100
